Эмодзи: 🥇, Идентификатор: :1st_place_medal:
Эмодзи: 🥈, Идентификатор: :2nd_place_medal:
Эмодзи: 🥉, Идентификатор: :3rd_place_medal:
Эмодзи: 🆎, Идентификатор: :AB_button_(blood_type):
Эмодзи: 🏧, Идентификатор: :ATM_sign:
Эмодзи: 🅰️, Идентификатор: :A_button_(blood_type):
Эмодзи: 🅰, Идентификатор: :A_button_(blood_type):
Эмодзи: 🇦🇫, Идентификатор: :Afghanistan:
Эмодзи: 🇦🇱, Идентификатор: :Albania:
Эмодзи: 🇩🇿, Идентификатор: :Algeria:
Эмодзи: 🇦🇸, Идентификатор: :American_Samoa:
Эмодзи: 🇦🇩, Идентификатор: :Andorra:
Эмодзи: 🇦🇴, Идентификатор: :Angola:
Эмодзи: 🇦🇮, Идентификатор: :Anguilla:
Эмодзи: 🇦🇶, Идентификатор: :Antarctica:
Эмодзи: 🇦🇬, Идентификатор: :Antigua_&_Barbuda:
Эмодзи: ♒, Идентификатор: :Aquarius:
Эмодзи: 🇦🇷, Идентификатор: :Argentina:
Эмодзи: ♈, Идентификатор: :Aries:
Эмодзи: 🇦🇲, Идентификатор: :Armenia:
Эмодзи: 🇦🇼, Идентификатор: :Aruba:
Эмодзи: 🇦🇨, Идентификатор: :Ascension_Island:
Эмодзи: 🇦🇺, Идентификатор: :Australia:
Эмодзи: 🇦🇹, Идентификатор: :Austria:
Эмодзи: 🇦🇿, Идентификатор: :Azerbaijan:
Эмодзи: 🔙, Идентификатор: :BACK_arrow:
Эмодзи: 🅱️, Идентификатор: :B_button_(blood_type):
Эмодзи: 🅱, Идентификатор: :B_button_(blood_type):
Эмодзи: 🇧🇸, Идентификатор: :Bahamas:
Эмодзи: 🇧🇭, Идентификатор: :Bahrain:
Эмодзи: 🇧🇩, Идентификатор: :Bangladesh:
Эмодзи: 🇧🇧, Идентификатор: :Barbados:
Эмодзи: 🇧🇾, Идентификатор: :Belarus:
Эмодзи: 🇧🇪, Идентификатор: :Belgium:
Эмодзи: 🇧🇿, Идентификатор: :Belize:
Эмодзи: 🇧🇯, Идентификатор: :Benin:
Эмодзи: 🇧🇲, Идентификатор: :Bermuda:
Эмодзи: 🇧🇹, Идентификатор: :Bhutan:
Эмодзи: 🇧🇴, Идентификатор: :Bolivia:
Эмодзи: 🇧🇦, Идентификатор: :Bosnia_&_Herzegovina:
Эмодзи: 🇧🇼, Идентификатор: :Botswana:
Эмодзи: 🇧🇻, Идентификатор: :Bouvet_Island:
Эмодзи: 🇧🇷, Идентификатор: :Brazil:
Эмодзи: 🇮🇴, Идентификатор: :British_Indian_Ocean_Territory:
Эмодзи: 🇻🇬, Идентификатор: :British_Virgin_Islands:
Эмодзи: 🇧🇳, Идентификатор: :Brunei:
Эмодзи: 🇧🇬, Идентификатор: :Bulgaria:
Эмодзи: 🇧🇫, Идентификатор: :Burkina_Faso:
Эмодзи: 🇧🇮, Идентификатор: :Burundi:
Эмодзи: 🆑, Идентификатор: :CL_button:
Эмодзи: 🆒, Идентификатор: :COOL_button:
Эмодзи: 🇰🇭, Идентификатор: :Cambodia:
Эмодзи: 🇨🇲, Идентификатор: :Cameroon:
Эмодзи: 🇨🇦, Идентификатор: :Canada:
Эмодзи: 🇮🇨, Идентификатор: :Canary_Islands:
Эмодзи: ♋, Идентификатор: :Cancer:
Эмодзи: 🇨🇻, Идентификатор: :Cape_Verde:
Эмодзи: ♑, Идентификатор: :Capricorn:
Эмодзи: 🇧🇶, Идентификатор: :Caribbean_Netherlands:
Эмодзи: 🇰🇾, Идентификатор: :Cayman_Islands:
Эмодзи: 🇨🇫, Идентификатор: :Central_African_Republic:
Эмодзи: 🇪🇦, Идентификатор: :Ceuta_&_Melilla:
Эмодзи: 🇹🇩, Идентификатор: :Chad:
Эмодзи: 🇨🇱, Идентификатор: :Chile:
Эмодзи: 🇨🇳, Идентификатор: :China:
Эмодзи: 🇨🇽, Идентификатор: :Christmas_Island:
Эмодзи: 🎄, Идентификатор: :Christmas_tree:
Эмодзи: 🇨🇵, Идентификатор: :Clipperton_Island:
Эмодзи: 🇨🇨, Идентификатор: :Cocos_(Keeling)_Islands:
Эмодзи: 🇨🇴, Идентификатор: :Colombia:
Эмодзи: 🇰🇲, Идентификатор: :Comoros:
Эмодзи: 🇨🇬, Идентификатор: :Congo-Brazzaville:
Эмодзи: 🇨🇩, Идентификатор: :Congo-Kinshasa:
Эмодзи: 🇨🇰, Идентификатор: :Cook_Islands:
Эмодзи: 🇨🇷, Идентификатор: :Costa_Rica:
Эмодзи: 🇭🇷, Идентификатор: :Croatia:
Эмодзи: 🇨🇺, Идентификатор: :Cuba:
Эмодзи: 🇨🇼, Идентификатор: :Curaçao:
Эмодзи: 🇨🇾, Идентификатор: :Cyprus:
Эмодзи: 🇨🇿, Идентификатор: :Czechia:
Эмодзи: 🇨🇮, Идентификатор: :Côte_d’Ivoire:
Эмодзи: 🇩🇰, Идентификатор: :Denmark:
Эмодзи: 🇩🇬, Идентификатор: :Diego_Garcia:
Эмодзи: 🇩🇯, Идентификатор: :Djibouti:
Эмодзи: 🇩🇲, Идентификатор: :Dominica:
Эмодзи: 🇩🇴, Идентификатор: :Dominican_Republic:
Эмодзи: 🔚, Идентификатор: :END_arrow:
Эмодзи: 🇪🇨, Идентификатор: :Ecuador:
Эмодзи: 🇪🇬, Идентификатор: :Egypt:
Эмодзи: 🇸🇻, Идентификатор: :El_Salvador:
Эмодзи: 🏴󠁧󠁢󠁥󠁮󠁧󠁿, Идентификатор: :England:
Эмодзи: 🇬🇶, Идентификатор: :Equatorial_Guinea:
Эмодзи: 🇪🇷, Идентификатор: :Eritrea:
Эмодзи: 🇪🇪, Идентификатор: :Estonia:
Эмодзи: 🇸🇿, Идентификатор: :Eswatini:
Эмодзи: 🇪🇹, Идентификатор: :Ethiopia:
Эмодзи: 🇪🇺, Идентификатор: :European_Union:
Эмодзи: 🆓, Идентификатор: :FREE_button:
Эмодзи: 🇫🇰, Идентификатор: :Falkland_Islands:
Эмодзи: 🇫🇴, Идентификатор: :Faroe_Islands:
Эмодзи: 🇫🇯, Идентификатор: :Fiji:
Эмодзи: 🇫🇮, Идентификатор: :Finland:
Эмодзи: 🇫🇷, Идентификатор: :France:
Эмодзи: 🇬🇫, Идентификатор: :French_Guiana:
Эмодзи: 🇵🇫, Идентификатор: :French_Polynesia:
Эмодзи: 🇹🇫, Идентификатор: :French_Southern_Territories:
Эмодзи: 🇬🇦, Идентификатор: :Gabon:
Эмодзи: 🇬🇲, Идентификатор: :Gambia:
Эмодзи: ♊, Идентификатор: :Gemini:
Эмодзи: 🇬🇪, Идентификатор: :Georgia:
Эмодзи: 🇩🇪, Идентификатор: :Germany:
Эмодзи: 🇬🇭, Идентификатор: :Ghana:
Эмодзи: 🇬🇮, Идентификатор: :Gibraltar:
Эмодзи: 🇬🇷, Идентификатор: :Greece:
Эмодзи: 🇬🇱, Идентификатор: :Greenland:
Эмодзи: 🇬🇩, Идентификатор: :Grenada:
Эмодзи: 🇬🇵, Идентификатор: :Guadeloupe:
Эмодзи: 🇬🇺, Идентификатор: :Guam:
Эмодзи: 🇬🇹, Идентификатор: :Guatemala:
Эмодзи: 🇬🇬, Идентификатор: :Guernsey:
Эмодзи: 🇬🇳, Идентификатор: :Guinea:
Эмодзи: 🇬🇼, Идентификатор: :Guinea-Bissau:
Эмодзи: 🇬🇾, Идентификатор: :Guyana:
Эмодзи: 🇭🇹, Идентификатор: :Haiti:
Эмодзи: 🇭🇲, Идентификатор: :Heard_&_McDonald_Islands:
Эмодзи: 🇭🇳, Идентификатор: :Honduras:
Эмодзи: 🇭🇰, Идентификатор: :Hong_Kong_SAR_China:
Эмодзи: 🇭🇺, Идентификатор: :Hungary:
Эмодзи: 🆔, Идентификатор: :ID_button:
Эмодзи: 🇮🇸, Идентификатор: :Iceland:
Эмодзи: 🇮🇳, Идентификатор: :India:
Эмодзи: 🇮🇩, Идентификатор: :Indonesia:
Эмодзи: 🇮🇷, Идентификатор: :Iran:
Эмодзи: 🇮🇶, Идентификатор: :Iraq:
Эмодзи: 🇮🇪, Идентификатор: :Ireland:
Эмодзи: 🇮🇲, Идентификатор: :Isle_of_Man:
Эмодзи: 🇮🇱, Идентификатор: :Israel:
Эмодзи: 🇮🇹, Идентификатор: :Italy:
Эмодзи: 🇯🇲, Идентификатор: :Jamaica:
Эмодзи: 🇯🇵, Идентификатор: :Japan:
Эмодзи: 🉑, Идентификатор: :Japanese_acceptable_button:
Эмодзи: 🈸, Идентификатор: :Japanese_application_button:
Эмодзи: 🉐, Идентификатор: :Japanese_bargain_button:
Эмодзи: 🏯, Идентификатор: :Japanese_castle:
Эмодзи: ㊗️, Идентификатор: :Japanese_congratulations_button:
Эмодзи: ㊗, Идентификатор: :Japanese_congratulations_button:
Эмодзи: 🈹, Идентификатор: :Japanese_discount_button:
Эмодзи: 🎎, Идентификатор: :Japanese_dolls:
Эмодзи: 🈚, Идентификатор: :Japanese_free_of_charge_button:
Эмодзи: 🈁, Идентификатор: :Japanese_here_button:
Эмодзи: 🈷️, Идентификатор: :Japanese_monthly_amount_button:
Эмодзи: 🈷, Идентификатор: :Japanese_monthly_amount_button:
Эмодзи: 🈵, Идентификатор: :Japanese_no_vacancy_button:
Эмодзи: 🈶, Идентификатор: :Japanese_not_free_of_charge_button:
Эмодзи: 🈺, Идентификатор: :Japanese_open_for_business_button:
Эмодзи: 🈴, Идентификатор: :Japanese_passing_grade_button:
Эмодзи: 🏣, Идентификатор: :Japanese_post_office:
Эмодзи: 🈲, Идентификатор: :Japanese_prohibited_button:
Эмодзи: 🈯, Идентификатор: :Japanese_reserved_button:
Эмодзи: ㊙️, Идентификатор: :Japanese_secret_button:
Эмодзи: ㊙, Идентификатор: :Japanese_secret_button:
Эмодзи: 🈂️, Идентификатор: :Japanese_service_charge_button:
Эмодзи: 🈂, Идентификатор: :Japanese_service_charge_button:
Эмодзи: 🔰, Идентификатор: :Japanese_symbol_for_beginner:
Эмодзи: 🈳, Идентификатор: :Japanese_vacancy_button:
Эмодзи: 🇯🇪, Идентификатор: :Jersey:
Эмодзи: 🇯🇴, Идентификатор: :Jordan:
Эмодзи: 🇰🇿, Идентификатор: :Kazakhstan:
Эмодзи: 🇰🇪, Идентификатор: :Kenya:
Эмодзи: 🇰🇮, Идентификатор: :Kiribati:
Эмодзи: 🇽🇰, Идентификатор: :Kosovo:
Эмодзи: 🇰🇼, Идентификатор: :Kuwait:
Эмодзи: 🇰🇬, Идентификатор: :Kyrgyzstan:
Эмодзи: 🇱🇦, Идентификатор: :Laos:
Эмодзи: 🇱🇻, Идентификатор: :Latvia:
Эмодзи: 🇱🇧, Идентификатор: :Lebanon:
Эмодзи: ♌, Идентификатор: :Leo:
Эмодзи: 🇱🇸, Идентификатор: :Lesotho:
Эмодзи: 🇱🇷, Идентификатор: :Liberia:
Эмодзи: ♎, Идентификатор: :Libra:
