station_id,station_name
20069,Остров Визе
20107,Баренцбург
20274,Остров Уединения
20289,Русский Остров
20353,Мыс Желания
20476,Мыс Стерлегова
20667,Имени Попова
20674,Остров Диксон
20744,Малые Кармакулы
20864,Тамбей
20871,Сопочная Карга
20891,Хатанга
20946,Мыс Болванский
20967,Сеяха
20978,Караул
21432,Остров Котельный
21711,Усть-Оленек
21721,Столб Остров
21802,Саскылах
21824,Тикси посѐлок
21908,Джалинда
21921,Кюсюр
21931,Юбилейная
21946,Чокурдах
21982,Остров Врангеля
22003,Вайда-Губа
22004,Никель
22009,Перевал Яур
22018,Ура-Губа
22019,Североморск
22028,Териберка
22095,Колгуев Остров
22100,Верховье Лотты
22101,Виртаниеми
22106,Падун
22113,Мурманск город
22114,Лопарская
22119,Пулозеро
22123,Голицыно
22127,Ловозеро
22165,Канин Нос
22193,Бугрино
22204,Ковдор
22212,Мончегорск
22213,Апатитовая
22217,Кандалакша
22235,Краснощелье
22249,Каневка
22271,Шойна
22282,Мыс Микулкин
22292,Индига
22302,Ням Лаке
22305,Усть-Оланга
22312,Ковда
22334,Варзуга
22339,Чаваньга
22349,Пялица
22355,Сосновец Остров
22361,Моржовец Остров
22375,Несь
22383,Нижняя Пеша
22408,Калевала
22413,Энгозеро
22422,Гридино
22438,Жижгин
22456,Кепино
22471,Мезень
22481,Мосеево
22511,Юшкозеро
22518,Ругозеро
22520,Кемь-Порт
22522,Кемь Порт
22525,Разнаволок
22529,Колежма
22541,Унский Маяк
22546,Северодвинск
22550,Архангельск город
22551,Мудьюг
22559,Холмогоры
22563,Пинега
22573,Лешуконское
22583,Койнас
22602,Реболы
22619,Паданы
22621,Сегежа
22638,Калгачиха
22641,Онега
22648,Турчасово
22656,Емецк
22671,Карпогоры
22676,Сура
22686,Вендинга
22695,Кослан
22710,Поросозеро
22717,Суоярви
22721,Медвежьегорск
22727,Кондопога
22749,Конево
22768,Шенкурск
22778,Верхняя Тойма
22798,Яренск
22802,Сортавала
22805,Валаам Остров
22816,Пряжа
22820,Петрозаводск
22824,Ладва-Ветка
22831,Пудож
22837,Вытегра
22845,Каргополь
22854,Няндома
22867,Вельск
22869,Шангалы
22887,Котлас
22889,Широкий Прилук
22891,Лесогорский
22892,Выборг
22896,Рощино
22907,Токсово
22912,Олонец
22913,Лодейное Поле
22917,Новая Ладога
22925,Винницы
22939,Белозерск
22954,Вожега
22974,Нюксеница
22981,Великий Устюг
22996,Объячево
23022,Амдерма
23024,Мыс Белый
23029,Усть-Кара
23032,Маресале
23058,Антипаюта
23103,Ходовариха
23104,Сенгейский Шар
23112,Варандей
23114,Мыс Шведский
23174,Потапово
23205,Нарьян-Мар
23207,Коткино
23215,Хорейвер
23220,Железнодорожный
23226,Воркута
23235,Лаборовая
23242,Новый Порт
23256,Тазовское
23274,Игарка
23305,Окунев Нос
23324,Петрунь
23330,Салехард город
23339,Янги-Юган
23345,Ныда
23358,Новый Уренгой
23375,Курейка
23383,Агата
23405,Усть-Цильма
23411,Мутный Материк
23412,Усть-Уса
23418,Печора
23426,Мужи
23431,Питляр
23443,Правая Хетта
23445,Надым
23453,Уренгой
23465,Красноселькуп
23471,Нижневартовск
23472,Туруханск
23484,Большой Порог
23503,Ижма
23509,Кедва-Вом
23514,Ираѐль
23518,Усть-Щугор
23527,Саран-Пауль
23531,Казымский Мыс
23552,Тарко-Сале
23578,Верещагино
23589,Тугончани
23606,Ухта
23612,Вуктыл
23625,Сосьва
23629,Игрим
23631,Березово
23632,Кислор Запад
23635,Казым
23656,Халесавэй
23657,Ноябрьск
23662,Кики Акки Толька
23678,Верхнеимбатск
23699,Виви
23701,Весляна
23709,Помоздино
23711,Троицко-Печерск
23724,Няксимволь
23734,Октябрьское
23748,Когалым
23758,Радужный
23774,Келлог
23776,Бахта
23788,Кузьмовка
23803,Усть-Кулом
23804,Сыктывкар город
23807,Визинга
23812,Якса
23829,Советский
23847,Сытомино
23848,Нефтеюганск
23849,Сургут
23862,Корлики
23867,Ларьяк
23884,Бор
23891,Байкит
23904,Кажым
23905,Усть-Чѐрная
23909,Гайны
23914,Чердынь
23921,Ивдель
23929,Шаим
23933,Ханты-Мансийск
23939,Алтай
23946,Угут
23953,Лобчинское
23955,Александровское
23966,Ванжиль-Кынак
23973,Ворогово
23975,Сым
23982,Вельмо
23986,Северо-Енисейск
23987,Ярцево
23992,Усть-Камо
24125,Оленек
24136,Сухана
24143,Дзарджан
24266,Верхоянск
24322,Полярный
24329,Шелагонцы
24343,Жиганск
24382,Усть-Мома
24477,Иэма
24507,Тура
24557,Тас-Тумус
24585,Усть-Нера
24606,Кислокан
24639,Нюрба
24641,Вилюйск
24652,Сангары
24656,Батамай
24661,Сегян-Кюель
24671,Томпо
24679,Восточная
24688,Оймякон
24724,Чернышевский
24726,Мирный
24738,Сунтар
24768,Чурапча
24771,Теплый Ключ
24790,Сусуман
24817,Ербогачен
24843,Тонгулах
24856,Покровская
24871,Охотский Перевоз
24908,Ванавара
24918,Преображенка
24923,Ленск
24944,Олекминск
24951,Исить
24959,Якутск
24962,Амга
24966,Усть-Мая
24967,Тегюльтя-Терде
24982,Уега
24988,Арка
25017,Андрюшкино
25034,Бухта Амбарчик
25042,Айон Остров
25051,Певек
25062,Мыс Биллингс
25121,Колымская
25123,Черский
25138,Островное
25151,Чаун
25206,Среднеколымск
25248,Илирней
25356,Мухоморное
25378,Егвекинот
25399,Мыс Уелен
25400,Зырянка
25428,Омолон
25503,Коркодон
25551,Марково
25563,Анадырь город
25594,Провидения Бухта
25703,Сеймчан
25705,Среднекан
25913,Магадан город
25914,Нагайева Бухта
25927,Брохово
25941,Чемурнаут
25956,Апука
26029,Пакри
26038,Таллинн
26045,Кунда
26046,Йохви
26058,Нарва
26059,Кингисепп
26060,Ломоносов
26064,Бегуницы
26067,Волосово
26069,Белогорка
26072,Петрокрепость
26078,Любань
26080,Мотохово
26092,Сугозеро
26094,Тихвин
26099,Ефимовская
26115,Ристна
26116,Кардла
26124,Нигула
26128,Виртсу
26134,Куусику
26135,Тури
26141,Валке-Мааря
26144,Йогева
26145,Тилрикоя
26157,Гдов
26167,Николаевское
26179,Новгород
26258,Псков город
26264,Струги Красные
26268,Дно
26275,Старая Русса
26285,Крестцы
26289,Валдай
26291,Боровичи
26298,Бологое
26359,Пушкинские Горы
26378,Холм
26381,Демянск
26389,Осташков
26393,Вышний Волочек
26477,Великие Луки
26479,Торопец
26499,Старица
26578,Велиж
26585,Белый
26695,Вязьма
26701,Балтийск
26711,Черняховск
26781,Смоленск
26784,Починок
26795,Спас-Деменск
26882,Рославль
26894,Жуковка
26898,Брянск город
26976,Красная Гора
26997,Трубчевск
27020,Яршево
27026,Коробово
27037,Вологда город
27051,Тотьма
27066,Никольск
27083,Опарино
27097,Мураши
27106,Устюжна
27108,Охоны
27113,Череповец
27185,Даровской
27199,Киров
27208,Максатиха
27215,Красный Холм
27217,Бежецк
27225,Рыбинск
27242,Буй
27243,Галич
27252,Николо-Полома
27271,Шарья
27277,Ветлуга
27281,Сабалино
27283,Котельнич
27296,Кумены
27316,Кашин
27321,Углич
27329,Ростов Великий
27330,Ярославль
27331,Ярославль
27333,Кострома
27344,Приволжск
27346,Кинешма
27347,Иваново
27355,Юрьевец
27369,Красные Баки
27373,Шахунья
27385,Яранск
27393,Нолинск
27401,Торжок
27402,Тверь город
27417,Клин
27419,Дмитров
27428,Александров
27441,Шуя
27462,Семенов
27479,Козьмодемьянск
27480,Санчурск
27485,Йошкар-Ола
27491,Новый Торьял
27502,Волоколамск
27507,Гагарин
27509,Можайск
27511,Ново-Иерусалим
27523,Павловский Посад
27524,Москва Внуково
27532,Владимир
27539,Гусь-Хрустальный
27549,Муром
27577,Сергач
27581,Чебоксары
27587,Канаш
27593,Арск
27595,Казань
27606,Малоярославец
27611,Наро-Фоминск
27612,Москва ВВЦ
27618,Серпухов
27625,Коломна
27627,Кашира
27643,Выкса
27648,Елатьма
27653,Арзамас
27665,Лукоянов
27675,Порецкое
27679,Алатырь
27697,Тетюши
27703,Калуга
27707,Сухиничи
27719,Тула
27729,Михайлов
27730,Рязань
27736,Шилово
27745,Сасово
27752,Темников
27758,Торбеево
27760,Саранск
27776,Сурское
27799,Димитровград
27814,Плавск
27817,Мценск
27821,Узловая
27823,Павелец
27835,Ряжск
27848,Моршанск
27857,Земетчино
27858,Пачелма
27872,Инза
27890,Тольятти
27891,Сенгилей
27894,Новодевичье
27906,Орел
27921,Ефремов
27928,Елец
27930,Липецк
27935,Мичуринск
27962,Пенза Терновка
27981,Канадей
27983,Сызрань
27995,Безенчук
28009,Кирс
28036,Кытлым
28044,Серов
28049,Гари
28064,Леуши
28066,Кондинское
28076,Демьянское
28097,Усановы
28116,Кудымкар
28128,Чѐрмоз
28134,Губаха
28135,Качканар
28138,Бисер
28144,Верхотурье
28158,Таборы
28165,Куминская
28172,Уват
28202,Фаленки
28214,Глазов
28216,Верещагино
28224,Пермь город
28233,Кушва
28234,Лысьва
28238,Кын
28240,Нижний Тагил
28248,Алапаевск
28255,Туринск
28264,Тавда
28275,Тобольск
28278,Вагайское
28302,Уни
28307,Уржум
28318,Воткинск
28319,Нозовка
28321,Оханск
28324,Оса
28326,Кунгур
28333,Висим
28334,Шамары
28344,Невьянск
28346,Артемовские
28351,Ирбит
28359,Тугулым
28366,Ярково
28367,Тюмень
28368,Тюмень Рощино
28382,Усть-Ишим
28383,Тевриз
28409,Можга
28411,Ижевск
28413,Чайковский
28418,Сарапул
28419,Янаул
28428,Чернушка
28429,Октябрьский
28434,Красноуфимск
28445,Верхнее Дуброво
28448,Сысерть
28451,Камышлов
28455,Бутка
28456,Сатрово
28457,Катайск
28465,Ялтуровск
28478,Голышманово
28481,Викулово
28491,Большие Уки
28502,Вятские Поляны
28506,Елабуга
28517,Мензелинск
28522,Аскино
28526,Караидельский
28533,Нязепетровск
28535,Карляханово
28537,Дуван
28541,Верхний Уфалей
28548,Аргаяш
28552,Шадринск
28561,Тебенякское
28573,Ишим
28581,Камышенка
28586,Тюкалинск
28588,Называевск
28598,Саргатское
28606,Русский Акташ
28615,Бакалы
28629,Улу-Теляк
28630,Златоуст
28639,Катав-Ивановск
28645,Челябинск город
28655,Шумиха
28659,Куртамыш
28661,Курган
28662,Лебяжье
28666,Макушино
28668,Половинное
28674,Петухово
28688,Исилькуль
28696,Калачинск
28698,Омск город
28704,Чулпаново
28705,Челно-Вершины
28709,Клявлино
28710,Раевский
28711,Бугульма
28712,Туймазы
28713,Буздяк
28719,Аксаково
28721,Чишмы
28722,Уфа город
28726,Архангельское
28741,Мирный
28748,Троицк
28752,Половинное
28754,Октябрьский
28756,Звериноголовская
28785,Возвышенский
28786,Полтавка
28791,Щербакуль
28797,Одесское
28798,Павлоградка
28799,Черлак
28802,Серноводск
28805,Кинель-Черкассы
28806,Бугуруслан
28815,Абдулино
28823,Тукан
28825,Стерлитамак
28831,Белорецк
28833,Верхнеуральск
28838,Магнитогорск
28867,Урицк
28873,Красноармейск
28877,Володарское
28879,Кокшетау
28886,Кзылту
28895,Русская Поляна
28901,Самара Аглос
28902,Самара Курумоч
28903,Самара Безымянка
28904,Самара Н-ск
28908,Авангард
28909,Бузулук
28916,Шарлык
28925,Мелеуз
28927,Кумертау
28939,Калининск
28941,Карталы
28952,Костанай город
28957,Тобол
28966,Рузаевка
28978,Балкашино
28984,Щучинск
29023,Напас
29068,Назимово
29111,Средний Васюган
29122,Каргасок
29128,Парабель
29149,Максимкин Яр
29203,Кунтики
29224,Старица
29231,Колпашево
29247,Батурино
29253,Лосиноборск
29263,Енисейск
29274,Стрелка
29276,Молыгино
29282,Богучаны
29313,Пудино
29328,Бакчар
29332,Молчаново
29348,Первомайское
29355,Тутало-Чулым
29363,Пировское
29367,Бирилюссы
29379,Тасеево
29393,Червянка
29418,Северное
29430,Томск
29456,Тюхтет
29464,Большой Улуй
29467,Ачинск
29471,Большая Мурта
29477,Сухобузимское
29481,Дзерджинское
29498,Ситкино
29524,Крещенка
29532,Козевниково
29539,Болотное
29540,Анжеро-Судженск
29541,Тайга
29548,Барзас
29551,Мариинск
29552,Тяжин
29553,Боготол
29557,Тисуль
29562,Кемчуг
29563,Каца
29572,Красноярск город
29576,Уяр
29578,Шалинское
29581,Канск
29587,Ирбейское
29590,Новочунское
29594,Тайшет
29602,Чаны
29605,Татарск
29612,Барабинск
29613,Убинское
29625,Чулым
29626,Коченево
29631,Колывань
29632,Москово
29636,Тогучин
29638,Огурцово
29645,Кемерово город
29649,Крапивино
29653,Ужур
29662,Балахта
29664,Светлолобово
29676,Агинское
29698,Нижнеудинск
29702,Чистоозерное
29706,Купино
29712,Здвинск
29724,Кочки
29726,Ордынское
29735,Посевная
29736,Маслянино
29745,Гурьевск
29752,Ненастная
29756,Шира
29759,Коммунар
29766,Идринское
29789,Верхняя Гутара
29814,Карасук
29816,Хабары
29822,Камень-на-Оби
29827,Баево
29832,Тальменка
29836,Сорокино
29837,Шелаболиха
29838,Барнаул город
29848,Тогул
29849,Кузедеево
29854,Междуреченск
29862,Хакасская
29864,Уйбат
29865,Абакан
29866,Минусинск
29869,Ермаковское
29870,Курагино
29876,Пономарѐво
29892,Хадама
29894,Алыгджер
29915,Славгород
29916,Благовещенка
29937,Алейск
29939,Бийск Зональная
29946,Кондома
29956,Тастып
29962,Бея
29998,Орлик
30014,Чемдальск
30054,Витим
30074,Маца
30089,Джикимда
30127,Токма
30157,Мама
30173,Тяня
30209,Ершово
30218,Новая Игирма
30229,Верхне-Марково
30230,Киренск
30252,Мамакан
30307,Братск город
30309,Братск город
30310,Братск аэропорт
30317,Заярск
30328,Орлинга
30337,Казачинск
30356,Улон-Макит
30372,Чара
30374,Большая Лепринда
30385,Усть-Нюкжа
30405,Тангуй
30433,Нижнеангарск
30437,Карам
30439,Томпа
30455,Уакит
30457,Баунт
30484,Средняя Олекма
30493,Нагорный
30497,Усть-Уркима
30499,Тында
30504,Тулун
30507,Икей
30514,Усть-Уда
30521,Жигалово
30526,Тырка
30537,Солнечная
30547,Курумкан
30554,Багдарин
30555,Троицкий Прииск
30565,Усть-Каренга
30576,Тупик
30603,Зима
30606,Залари
30612,Балаганск
30617,Черемхово
30618,Бохан
30622,Кацуг
30627,Баяндай
30635,Усть-Баргузин
30636,Баргузин
30637,Хузир
30650,Романовка
30664,Тунгокочен
30667,Кикер
30673,Могоча
30675,Ксеньевская
30682,Амазар
30683,Ерофей Павлович
30692,Сковородино
30695,Джалинда
30703,Инга
30710,Иркутск город
30713,Усть-Ордынский
30715,Ангарск
30726,Сухая
30729,Кабанск
30731,Горячинск
30739,Хоринск
30745,Сосново-Озерское
30751,Телемба
30757,Беклемишево
30758,Чита город
30764,Усугли
30766,Чернышевск
30768,Нерчинск
30772,Усть-Кара
30777,Сретенск
30791,Иркутск аэропорт
30802,Монды
30806,Кырен
30811,Тунка
30812,Слюдянка
30815,Хамар-Дабан
30818,Байкальск
30822,Бабушкин
30823,Улан-Удэ город
30824,Танхой
30825,Улан-Удэ Мухино
30829,Новоселенгинск
30837,Мухоршибирь
30838,Петровский Завод
30843,Могзон
30844,Хилок
30846,Улеты
30853,Карымская
30858,Дарасун
30859,Агинское
30862,Шилка
30866,Балей
30874,Шелопугино
30875,Тайна
30879,Нерчинский Завод
30911,Санага
30915,Цакир
30924,Петропавловка
30925,Кяхта
30934,Бичура
30935,Красный Чикой
30938,Менза
30944,Черемхово
30948,Грязи
30949,Кыра
30954,Дулдурга
30957,Акса
30961,Оловянная
30965,Борзя
30967,Соловьевск
30968,Харанор
30975,Приаргунск
30978,Кайластуй
31004,Алдан
31005,Томмот
31011,Буяга
31016,Угино
31041,Уст-Миль
31054,Усть-Юдома
31062,Югарѐнок
31087,Уля
31088,Охотск
31092,Талон
31123,Чюльбю
31137,Токо
31152,Нелькан
31168,Аян
31174,Большой Шантар
31253,Бомнак
31285,Удское
31286,Чумикан
31295,Магдагачи
31299,Тыгда
31300,Зея
31318,Нора
31329,Экимчан
31348,Бурукан
31362,Александра
31371,Черняево
31388,Норск
31392,Стойба
31397,Бысса
31418,Весѐлая Горка
31423,Удинское
31436,Джаоре
31439,Богородское
31441,Усаково
31442,Шимановск
31443,Мазаново
31445,Свободный
31469,Чегдомын
31484,Хуларин
31489,Горин
31502,Мариинское
31504,Сухановка
31510,Благовещенск
31511,Сергеевка
31513,Белогорск
31521,Братолюбовка
31527,Завитая
31532,Чекунда
31534,Сектагли
31538,Сутур
31562,Нижнетамбовское
31566,Сегежма
31583,Малиновка
31587,Поярково
31594,Архара
31624,Урми
31632,Кур
31647,Литовко
31655,Троицкое
31683,Тумнин
31702,Облучье
31710,Ленинское
31713,Биробиджан
31725,Смидович
31733,Елабуга
31735,Хабаровск
31754,Тивяку
31770,Советская Гавань
31786,Вяземская
31788,Лермонтовка
31790,Верино
31792,Бичевая
31801,Гвасюги
31825,Агзу
31832,Бикин
31845,Красный Яр
31866,Сосуново
31873,Дальнереченск
31878,Кировский
31884,Малиново
31895,Усть-Колумбей
31909,Терней
31913,Турий Рог
31915,Пограничный
31917,Полтавка
31921,Астраханка
31924,Хороль
31931,Свиягино
31939,Чугуевка
31943,Заветное
31958,Богополь
31959,Рудная Пристань
31961,Покровка
31969,Посьет
31970,Находка
31981,Анучино
31987,Партизанск
31989,Преображение
32010,Оха
32027,Погиби
32053,Ноглики
32059,Конги
32069,Пильво
32071,Тымовское
32076,Пограничное
32077,Онор
32088,Углегорск
32098,Поронайск
32116,Макаров
32121,Илыинский
32128,Холмск
32133,Долинск
32156,Корсаков
32158,Южное
32165,Южно-Курильск
32166,Мало-Курильское
32213,Мыс Лопатка
32215,Северо-Курильск
32252,Усть-Воямполка
32287,Уст-Хайрюзово
32389,Ключи
32408,Усть-Камчатск
32411,Ица
32447,Долиновка
32477,Соболево
32509,Семлячики
32562,Большерецкий
32594,Озерная
32596,Ходутка
32618,Никольское
34003,Поныри
34009,Курск
34013,Ливны
34063,Петровск
34069,Аткарск
34072,Карабулак
34083,Хвалынск
34098,Пугачев
34109,Обоянь
34110,Богородицкое
34116,Старый Оскол
34123,Воронеж город
34186,Ершов
34199,Озинки
34202,Готня
34213,Новый Оскол
34214,Белгород
34231,Лиски
34247,Калач
34253,Елань
34254,Новоанненский
34262,Рудня
34267,Даниловка
34273,Красный Кут
34321,Валуйки
34336,Богучар
34344,Казанская
34352,Михайловка
34356,Фролово
34357,Серафимович
34363,Камышин
34373,Палласовка
34391,Александров Гай
34432,Чертково
34438,Миллерово
34445,Боковская
34476,Эльтон
34539,Белая Калитва
34545,Морозовск
34555,Нижний Чир
34560,Волгоград Гумрак
34578,Чѐрный Яр
34579,Верхний
34625,Матвеев Курган
34635,Шахты
34636,Семикаракорск
34644,Константиновск
34646,Цимлянск
34655,Котельниково
34662,Малые Дербеты
34719,Должанка
34720,Таганрог
34723,Азов
34727,Ейск
34737,Кущевская
34740,Гигант
34743,Зимовники
34759,Ремонтное
34772,Юста
34825,Каневская
34838,Тихорецк
34845,Городовиковск
34858,Дивное
34861,Элиста
34922,Тимашевская
34936,Кропоткин
34945,Изобильный
34949,Ставрополь
34954,Светлоград
34958,Благодарный
34964,Арзгир
35001,Большая Глушица
35007,Перелюб
35008,Первомайский
35011,Сорочинск
35015,Новосергиевка
35022,Тюльган
35026,Зилаир
35037,Акъяр
35038,Энергетик
35041,Бреды
35120,Соль-Илецк
35121,Оренбург город
35125,Беляевка
35126,Кувандык
35127,Акбулак
35138,Орск
35233,Домбаровский
36020,Родино
36021,Ключи
36022,Волчиха
36034,Рубцовск
36036,Краснощѐково
36038,Змеиногорск
36045,Солонечное
36052,Горно-Алтайск
36058,Чемал
36061,Турочак
36064,Яйлю
36078,Теели
36083,Усть-Уса
36087,Чадан
36090,Хут
36091,Нижне-Усинское
36096,Кызыл
36103,Тора-Хем
36104,Сарыг-Сеп
36213,Усть-Кан
36229,Усть-Кокса
36231,Онгудай
36259,Кош-Агач
36307,Ерзин
36335,Каркаралы
36358,Кайнар
37004,Геленджик
37009,Джубга
37013,Белореченск
37014,Горячий Ключ
37017,Горный
37018,Туапсе
37021,Майкоп
37031,Армавир
37036,Невинномысск
37058,Георгиевск
37079,Терекли-Мектеб
37099,Сочи
37107,Красная Поляна
37126,Шаджатмаз
37145,Моздок
37171,Сочи Адлер
37193,Теберда
37209,Верхняя Балкария
37212,Нальчик
37228,Владикавказ
37235,Грозный
37244,Гудермес
37248,Хасавюрт
37463,Гуниб
37471,Буйнакск
37472,Махачкала
37475,Сергокала
37663,Ахты
38352,Беловодское
38957,Искасим
